#           x             k
      0.04075    0.00430656
    0.0710455    0.00425951
     0.101341    0.00421303
     0.131636    0.00416672
     0.161932    0.00412114
     0.192227    0.00407618
     0.222523    0.00403216
     0.252818    0.00398919
     0.283114    0.00394698
     0.313409    0.00390557
     0.343705    0.00386513
        0.374    0.00382533
     0.404295    0.00378649
     0.434591    0.00374839
     0.464886    0.00371122
     0.495182    0.00367454
     0.525477    0.00363865
     0.555773    0.00360353
     0.586068    0.00356908
     0.616364    0.00353515
     0.646659    0.00350203
     0.676955    0.00346953
      0.70725    0.00343753
     0.737545    0.00340617
     0.767841    0.00337542
     0.798136    0.00334515
     0.828432     0.0033154
     0.858727    0.00328632
     0.889023    0.00325764
     0.919318    0.00322956
     0.949614    0.00320185
     0.979909    0.00317474
       1.0102    0.00314808
       1.0405     0.0031218
       1.0708    0.00309598
      1.10109    0.00307061
      1.13139    0.00304568
      1.16168    0.00302114
      1.19198    0.00299702
      1.22227    0.00297329
      1.25257    0.00294993
      1.28286    0.00292694
      1.31316    0.00290435
      1.34345    0.00288208
      1.37375    0.00286017
      1.40405     0.0028386
      1.43434    0.00281738
      1.46464     0.0027964
      1.49493    0.00277588
      1.52523    0.00275557
      1.55552     0.0027355
      1.58582    0.00271587
      1.61611    0.00269653
      1.64641     0.0026774
       1.6767    0.00265851
        1.707    0.00263989
       1.7373    0.00262153
      1.76759    0.00260344
      1.79789    0.00258562
      1.82818    0.00256805
      1.85848    0.00255074
      1.88877    0.00253369
      1.91907    0.00251689
      1.94936    0.00250033
      1.97966    0.00248402
      2.00995     0.0024679
      2.04025    0.00245194
      2.07055    0.00243606
      2.10084    0.00242034
      2.13114    0.00240502
      2.16143    0.00239008
      2.19173    0.00237522
      2.22202    0.00236027
      2.25232    0.00234541
      2.28261    0.00233133
      2.31291    0.00231728
       2.3432    0.00230295
       2.3735      0.002289
       2.4038    0.00227569
      2.43409    0.00226195
      2.46439     0.0022483
      2.49468     0.0022356
      2.52498    0.00222228
      2.55527    0.00220919
      2.58557    0.00219691
      2.61586    0.00218383
      2.64616     0.0021716
      2.67645    0.00215944
      2.70675    0.00214671
      2.73705    0.00213535
      2.76734    0.00212283
      2.79764    0.00211151
      2.82793    0.00209979
      2.85823    0.00208801
      2.88852    0.00207658
      2.91882    0.00206578
      2.94911    0.00205666
      2.97941    0.00203938
       3.0097     0.0020241
         3.04    0.00202116
