#           x             k
      0.04075      0.004374
    0.0710455      0.004374
     0.101341      0.004374
     0.131636      0.004374
     0.161932      0.004374
     0.192227      0.004374
     0.222523      0.004374
     0.252818      0.004374
     0.283114      0.004374
     0.313409      0.004374
     0.343705      0.004374
        0.374      0.004374
     0.404295      0.004374
     0.434591      0.004374
     0.464886      0.004374
     0.495182      0.004374
     0.525477      0.004374
     0.555773      0.004374
     0.586068      0.004374
     0.616364      0.004374
     0.646659      0.004374
     0.676955      0.004374
      0.70725      0.004374
     0.737545      0.004374
     0.767841      0.004374
     0.798136      0.004374
     0.828432      0.004374
     0.858727      0.004374
     0.889023      0.004374
     0.919318      0.004374
     0.949614      0.004374
     0.979909      0.004374
       1.0102      0.004374
       1.0405      0.004374
       1.0708      0.004374
      1.10109      0.004374
      1.13139      0.004374
      1.16168      0.004374
      1.19198      0.004374
      1.22227      0.004374
      1.25257      0.004374
      1.28286      0.004374
      1.31316      0.004374
      1.34345      0.004374
      1.37375      0.004374
      1.40405      0.004374
      1.43434      0.004374
      1.46464      0.004374
      1.49493      0.004374
      1.52523      0.004374
      1.55552      0.004374
      1.58582      0.004374
      1.61611      0.004374
      1.64641      0.004374
       1.6767      0.004374
        1.707      0.004374
       1.7373      0.004374
      1.76759      0.004374
      1.79789      0.004374
      1.82818      0.004374
      1.85848      0.004374
      1.88877      0.004374
      1.91907      0.004374
      1.94936      0.004374
      1.97966      0.004374
      2.00995      0.004374
      2.04025      0.004374
      2.07055      0.004374
      2.10084      0.004374
      2.13114      0.004374
      2.16143      0.004374
      2.19173      0.004374
      2.22202      0.004374
      2.25232      0.004374
      2.28261      0.004374
      2.31291      0.004374
       2.3432      0.004374
       2.3735      0.004374
       2.4038      0.004374
      2.43409      0.004374
      2.46439      0.004374
      2.49468      0.004374
      2.52498      0.004374
      2.55527      0.004374
      2.58557      0.004374
      2.61586      0.004374
      2.64616      0.004374
      2.67645      0.004374
      2.70675      0.004374
      2.73705      0.004374
      2.76734      0.004374
      2.79764      0.004374
      2.82793      0.004374
      2.85823      0.004374
      2.88852      0.004374
      2.91882      0.004374
      2.94911      0.004374
      2.97941      0.004374
       3.0097      0.004374
         3.04      0.004374
