#           x             k
      0.04075     0.0342813
    0.0710455     0.0312372
     0.101341     0.0286962
     0.131636     0.0265256
     0.161932     0.0246504
     0.192227     0.0230149
     0.222523     0.0215762
     0.252818     0.0203012
     0.283114     0.0191638
     0.313409     0.0181431
     0.343705     0.0172222
        0.374     0.0163874
     0.404295     0.0156272
     0.434591     0.0149322
     0.464886     0.0142943
     0.495182     0.0137071
     0.525477     0.0131647
     0.555773     0.0126622
     0.586068     0.0121954
     0.616364     0.0117608
     0.646659     0.0113551
     0.676955     0.0109755
      0.70725     0.0106198
     0.737545     0.0102857
     0.767841    0.00997123
     0.798136    0.00967496
     0.828432    0.00939526
     0.858727    0.00913068
     0.889023    0.00888026
     0.919318    0.00864267
     0.949614    0.00841727
     0.979909    0.00820282
       1.0102    0.00799867
       1.0405    0.00780435
       1.0708    0.00761892
      1.10109    0.00744183
      1.13139    0.00727259
      1.16168    0.00711052
      1.19198    0.00695541
      1.22227     0.0068067
      1.25257    0.00666388
      1.28286     0.0065269
      1.31316     0.0063957
      1.34345    0.00626894
      1.37375    0.00614737
      1.40405    0.00603008
      1.43434    0.00591733
      1.46464      0.005808
      1.49493    0.00570347
      1.52523    0.00560193
      1.55552     0.0055035
      1.58582    0.00540919
      1.61611    0.00531791
      1.64641    0.00522934
       1.6767    0.00514344
        1.707    0.00506027
       1.7373    0.00497973
      1.76759    0.00490176
      1.79789    0.00482625
      1.82818    0.00475312
      1.85848    0.00468225
      1.88877    0.00461352
      1.91907    0.00454674
      1.94936    0.00448162
      1.97966    0.00441771
      2.00995    0.00435533
      2.04025    0.00429578
      2.07055     0.0042425
      2.10084    0.00419573
      2.13114    0.00414576
      2.16143    0.00408408
      2.19173     0.0040278
      2.22202    0.00400126
      2.25232    0.00400186
      2.28261    0.00392688
      2.31291    0.00386182
       2.3432    0.00390214
       2.3735    0.00392287
       2.4038    0.00378488
      2.43409    0.00386332
      2.46439    0.00402059
      2.49468    0.00378371
      2.52498    0.00398225
      2.55527    0.00420507
      2.58557    0.00391485
      2.61586    0.00444432
      2.64616    0.00438739
      2.67645     0.0043765
      2.70675    0.00525338
      2.73705    0.00462947
      2.76734    0.00573728
      2.79764    0.00544109
      2.82793    0.00607616
      2.85823    0.00668549
      2.88852    0.00667073
      2.91882    0.00805557
      2.94911    0.00739865
      2.97941    0.00991312
       3.0097    0.00963521
         3.04     0.0113168
