#           x             k
      0.04075      0.354294
    0.0710455      0.354294
     0.101341      0.354294
     0.131636      0.354294
     0.161932      0.354294
     0.192227      0.354294
     0.222523      0.354294
     0.252818      0.354294
     0.283114      0.354294
     0.313409      0.354294
     0.343705      0.354294
        0.374      0.354294
     0.404295      0.354294
     0.434591      0.354294
     0.464886      0.354294
     0.495182      0.354294
     0.525477      0.354294
     0.555773      0.354294
     0.586068      0.354294
     0.616364      0.354294
     0.646659      0.354294
     0.676955      0.354294
      0.70725      0.354294
     0.737545      0.354294
     0.767841      0.354294
     0.798136      0.354294
     0.828432      0.354294
     0.858727      0.354294
     0.889023      0.354294
     0.919318      0.354294
     0.949614      0.354294
     0.979909      0.354294
       1.0102      0.354294
       1.0405      0.354294
       1.0708      0.354294
      1.10109      0.354294
      1.13139      0.354294
      1.16168      0.354294
      1.19198      0.354294
      1.22227      0.354294
      1.25257      0.354294
      1.28286      0.354294
      1.31316      0.354294
      1.34345      0.354294
      1.37375      0.354294
      1.40405      0.354294
      1.43434      0.354294
      1.46464      0.354294
      1.49493      0.354294
      1.52523      0.354294
      1.55552      0.354294
      1.58582      0.354294
      1.61611      0.354294
      1.64641      0.354294
       1.6767      0.354294
        1.707      0.354294
       1.7373      0.354294
      1.76759      0.354294
      1.79789      0.354294
      1.82818      0.354294
      1.85848      0.354294
      1.88877      0.354294
      1.91907      0.354294
      1.94936      0.354294
      1.97966      0.354294
      2.00995      0.354294
      2.04025      0.354294
      2.07055      0.354294
      2.10084      0.354294
      2.13114      0.354294
      2.16143      0.354294
      2.19173      0.354294
      2.22202      0.354294
      2.25232      0.354294
      2.28261      0.354294
      2.31291      0.354294
       2.3432      0.354294
       2.3735      0.354294
       2.4038      0.354294
      2.43409      0.354294
      2.46439      0.354294
      2.49468      0.354294
      2.52498      0.354294
      2.55527      0.354294
      2.58557      0.354294
      2.61586      0.354294
      2.64616      0.354294
      2.67645      0.354294
      2.70675      0.354294
      2.73705      0.354294
      2.76734      0.354294
      2.79764      0.354294
      2.82793      0.354294
      2.85823      0.354294
      2.88852      0.354294
      2.91882      0.354294
      2.94911      0.354294
      2.97941      0.354294
       3.0097      0.354294
         3.04      0.354294
