#           x             k
      0.04075      0.148679
    0.0710455      0.102242
     0.101341     0.0776143
     0.131636     0.0623158
     0.161932     0.0519212
     0.192227     0.0444133
     0.222523     0.0387457
     0.252818     0.0343221
     0.283114     0.0307765
     0.313409      0.027874
     0.343705     0.0254557
        0.374     0.0234109
     0.404295     0.0216606
     0.434591     0.0201457
     0.464886     0.0188224
     0.495182     0.0176569
     0.525477     0.0166227
     0.555773     0.0156993
     0.586068     0.0148697
     0.616364     0.0141206
     0.646659     0.0134412
     0.676955     0.0128219
      0.70725     0.0122555
     0.737545     0.0117353
     0.767841     0.0112561
     0.798136     0.0108134
     0.828432      0.010403
     0.858727     0.0100217
     0.889023    0.00966646
     0.919318    0.00933475
     0.949614    0.00902439
     0.979909    0.00873337
       1.0102    0.00845987
       1.0405    0.00820262
       1.0708    0.00796002
      1.10109    0.00773093
      1.13139    0.00751433
      1.16168    0.00730899
      1.19198     0.0071144
      1.22227    0.00692957
      1.25257    0.00675371
      1.28286    0.00658638
      1.31316    0.00642723
      1.34345    0.00627495
      1.37375    0.00612981
      1.40405    0.00599088
      1.43434    0.00585813
      1.46464    0.00573051
      1.49493    0.00560889
      1.52523    0.00549175
      1.55552    0.00537896
      1.58582    0.00527123
      1.61611    0.00516751
      1.64641    0.00506752
       1.6767    0.00497112
        1.707    0.00487826
       1.7373    0.00478882
      1.76759    0.00470271
      1.79789    0.00461983
      1.82818    0.00454008
      1.85848    0.00446333
      1.88877    0.00438932
      1.91907    0.00431757
      1.94936    0.00424717
      1.97966    0.00417653
      2.00995    0.00410724
      2.04025    0.00404474
      2.07055    0.00400324
      2.10084    0.00398364
      2.13114    0.00394615
      2.16143    0.00385825
      2.19173    0.00378949
      2.22202    0.00383251
      2.25232    0.00397036
      2.28261    0.00382187
      2.31291    0.00371724
       2.3432    0.00397881
       2.3735    0.00415025
       2.4038    0.00381875
      2.43409    0.00417754
      2.46439    0.00472494
      2.49468    0.00416766
      2.52498    0.00482532
      2.55527    0.00546303
      2.58557    0.00491134
      2.61586    0.00624356
      2.64616    0.00622508
      2.67645    0.00642609
      2.70675    0.00818062
      2.73705    0.00734006
      2.76734    0.00938657
      2.79764    0.00917682
      2.82793     0.0104591
      2.85823     0.0115315
      2.88852     0.0120092
      2.91882     0.0138892
      2.94911     0.0137282
      2.97941     0.0168122
       3.0097     0.0175455
         3.04     0.0188971
