#           x             k
      0.04075     0.0982735
    0.0710455     0.0762323
     0.101341     0.0621735
     0.131636     0.0523761
     0.161932       0.04517
     0.192227     0.0396544
     0.222523     0.0353016
     0.252818     0.0317826
     0.283114     0.0288807
     0.313409     0.0264484
     0.343705     0.0243814
        0.374      0.022604
     0.404295     0.0210603
     0.434591     0.0197074
     0.464886     0.0185124
     0.495182     0.0174497
     0.525477     0.0164985
     0.555773     0.0156424
     0.586068      0.014868
     0.616364     0.0141642
     0.646659      0.013522
     0.676955     0.0129335
      0.70725     0.0123927
     0.737545     0.0118937
     0.767841     0.0114321
     0.798136      0.011004
     0.828432     0.0106057
     0.858727     0.0102344
     0.889023    0.00988737
     0.919318    0.00956233
     0.949614    0.00925742
     0.979909    0.00897072
       1.0102    0.00870061
       1.0405      0.008446
       1.0708    0.00820534
      1.10109    0.00797761
      1.13139    0.00776186
      1.16168    0.00755695
      1.19198     0.0073624
      1.22227     0.0071773
      1.25257    0.00700088
      1.28286    0.00683277
      1.31316    0.00667267
      1.34345    0.00651922
      1.37375    0.00637279
      1.40405    0.00623243
      1.43434    0.00609817
      1.46464    0.00596892
      1.49493    0.00584564
      1.52523    0.00572675
      1.55552    0.00561216
      1.58582    0.00550263
      1.61611    0.00539708
      1.64641    0.00529523
       1.6767    0.00519694
        1.707    0.00510213
       1.7373    0.00501067
      1.76759    0.00492243
      1.79789    0.00483726
      1.82818    0.00475505
      1.85848    0.00467567
      1.88877    0.00459893
      1.91907     0.0045246
      1.94936     0.0044523
      1.97966    0.00438139
      2.00995    0.00431222
      2.04025    0.00424652
      2.07055    0.00418924
      2.10084    0.00414121
      2.13114     0.0040887
      2.16143    0.00401827
      2.19173    0.00395489
      2.22202    0.00393648
      2.25232    0.00396055
      2.28261    0.00386704
      2.31291    0.00378789
       2.3432    0.00387425
       2.3735    0.00392993
       2.4038    0.00373613
      2.43409     0.0038826
      2.46439    0.00414695
      2.49468    0.00380657
      2.52498    0.00413448
      2.55527    0.00448742
      2.58557    0.00408952
      2.61586    0.00488912
      2.64616    0.00483144
      2.67645    0.00486705
      2.70675    0.00609143
      2.73705    0.00531831
      2.76734    0.00682089
      2.79764    0.00650357
      2.82793    0.00739484
      2.85823    0.00820069
      2.88852    0.00833074
      2.91882     0.0100073
      2.94911    0.00944523
      2.97941     0.0123679
       3.0097     0.0124194
         3.04     0.0141061
