#           x             k
      0.04075      0.157464
    0.0710455      0.157464
     0.101341      0.157464
     0.131636      0.157464
     0.161932      0.157464
     0.192227      0.157464
     0.222523      0.157464
     0.252818      0.157464
     0.283114      0.157464
     0.313409      0.157464
     0.343705      0.157464
        0.374      0.157464
     0.404295      0.157464
     0.434591      0.157464
     0.464886      0.157464
     0.495182      0.157464
     0.525477      0.157464
     0.555773      0.157464
     0.586068      0.157464
     0.616364      0.157464
     0.646659      0.157464
     0.676955      0.157464
      0.70725      0.157464
     0.737545      0.157464
     0.767841      0.157464
     0.798136      0.157464
     0.828432      0.157464
     0.858727      0.157464
     0.889023      0.157464
     0.919318      0.157464
     0.949614      0.157464
     0.979909      0.157464
       1.0102      0.157464
       1.0405      0.157464
       1.0708      0.157464
      1.10109      0.157464
      1.13139      0.157464
      1.16168      0.157464
      1.19198      0.157464
      1.22227      0.157464
      1.25257      0.157464
      1.28286      0.157464
      1.31316      0.157464
      1.34345      0.157464
      1.37375      0.157464
      1.40405      0.157464
      1.43434      0.157464
      1.46464      0.157464
      1.49493      0.157464
      1.52523      0.157464
      1.55552      0.157464
      1.58582      0.157464
      1.61611      0.157464
      1.64641      0.157464
       1.6767      0.157464
        1.707      0.157464
       1.7373      0.157464
      1.76759      0.157464
      1.79789      0.157464
      1.82818      0.157464
      1.85848      0.157464
      1.88877      0.157464
      1.91907      0.157464
      1.94936      0.157464
      1.97966      0.157464
      2.00995      0.157464
      2.04025      0.157464
      2.07055      0.157464
      2.10084      0.157464
      2.13114      0.157464
      2.16143      0.157464
      2.19173      0.157464
      2.22202      0.157464
      2.25232      0.157464
      2.28261      0.157464
      2.31291      0.157464
       2.3432      0.157464
       2.3735      0.157464
       2.4038      0.157464
      2.43409      0.157464
      2.46439      0.157464
      2.49468      0.157464
      2.52498      0.157464
      2.55527      0.157464
      2.58557      0.157464
      2.61586      0.157464
      2.64616      0.157464
      2.67645      0.157464
      2.70675      0.157464
      2.73705      0.157464
      2.76734      0.157464
      2.79764      0.157464
      2.82793      0.157464
      2.85823      0.157464
      2.88852      0.157464
      2.91882      0.157464
      2.94911      0.157464
      2.97941      0.157464
       3.0097      0.157464
         3.04      0.157464
